name,soil_texture,soil_ph_min,soil_ph_max,organic_matter,drainage_status,rainfall_min,rainfall_max,temperature_min,temperature_max,season,previous_crop,description
Rice,clay,5.5,7.0,medium,poor,1200,2500,22,32,kharif,pulses,"India's staple cereal crop grown in flooded fields. Rich in carbohydrates and feeds over half the world's population. Requires abundant water and warm climate."
Wheat,loamy,6.0,7.5,medium,well_drained,300,750,15,25,rabi,rice,"Second most important cereal crop in India. Grown in northern plains during winter season. Primary source of protein and energy for millions."
Maize,loamy,6.0,7.5,high,well_drained,600,1200,20,30,kharif,wheat,"Versatile cereal crop used for food feed and industrial purposes. Known as corn in many regions. Third most important cereal globally."
Barley,loamy,6.0,8.5,medium,well_drained,450,650,12,22,rabi,rice,"Ancient cereal crop cultivated for over 10000 years. Used for food brewing and animal feed. Highly tolerant to salinity and drought."
Jowar (Sorghum),sandy,6.0,8.5,low,well_drained,400,750,26,30,kharif,cotton,"Drought-resistant cereal crop native to Africa but widely grown in India. Excellent source of protein fiber and antioxidants."
Bajra (Pearl Millet),sandy,6.5,8.0,low,well_drained,200,500,25,35,kharif,pulses,"Highly nutritious millet crop extremely drought-tolerant. Rich in iron calcium and protein. Indigenous to Indian subcontinent."
Finger Millet,sandy,5.0,8.2,medium,well_drained,500,750,22,28,kharif,others,"Nutritious millet crop known as ragi. Excellent source of calcium and amino acids. Native to Ethiopian highlands but widely grown in India."
Foxtail Millet,sandy,6.5,7.5,low,well_drained,350,500,25,35,kharif,cotton,"Ancient grain crop with high nutritional value. Gluten-free and rich in protein. One of the oldest cultivated crops in India."
Proso Millet,sandy,6.0,7.0,low,well_drained,200,400,15,30,kharif,wheat,"Fast-growing millet crop that matures in 60-90 days. Highly drought-tolerant and nutritious. Used for food and fodder."
Barnyard Millet,loamy,5.5,6.5,medium,moderate,400,600,18,28,kharif,rice,"Nutritious millet crop with low glycemic index. Excellent substitute for rice. Rich in fiber and minerals."
Little Millet,sandy,5.0,6.5,low,well_drained,500,750,20,30,kharif,maize,"Small-seeded nutritious millet crop. High in protein and dietary fiber. Important food security crop in tribal areas."
Kodo Millet,clay,5.5,7.0,medium,moderate,400,800,25,35,kharif,rice,"Hardy millet crop that grows on poor soils. High protein content and good source of antioxidants. Traditional crop of central India."
Oats,loamy,6.0,7.0,medium,well_drained,400,700,10,20,rabi,rice,"Nutritious cereal crop rich in beta-glucan fiber. Helps reduce cholesterol levels. Increasingly popular health food."
Quinoa,sandy,6.0,8.5,medium,well_drained,250,400,15,20,rabi,wheat,"Complete protein grain crop native to Andes but adapted to Indian conditions. Superfood with all essential amino acids."
Amaranth,loamy,6.0,7.5,medium,well_drained,500,800,20,30,kharif,wheat,"Ancient grain crop with exceptional nutritional value. Complete protein source and gluten-free. Sacred crop in Indian culture."
Chickpea (Chana),loamy,6.2,7.8,medium,well_drained,400,650,15,25,rabi,cotton,"Most important pulse crop in India. Excellent source of protein and dietary fiber. Forms nitrogen-fixing nodules improving soil fertility."
Pigeon Pea (Arhar),loamy,6.0,7.5,medium,well_drained,600,1000,20,40,kharif,wheat,"Protein-rich pulse crop also known as red gram. Deep-rooted plant that improves soil structure and fertility."
Black Gram (Urad),loamy,6.5,7.5,high,well_drained,600,1000,25,35,kharif,rice,"Important pulse crop used to make dal and traditional foods. Rich in protein and minerals. Nitrogen-fixing legume."
Green Gram (Moong),sandy,6.2,7.2,medium,well_drained,500,750,25,30,kharif,wheat,"Highly digestible pulse crop rich in protein and vitamins. Short duration crop that fits well in cropping systems."
Lentil (Masur),loamy,6.0,7.0,medium,well_drained,300,400,15,25,rabi,rice,"Cool season pulse crop rich in protein iron and folate. Important component of vegetarian diet in India."
Field Pea,loamy,6.0,7.5,medium,well_drained,400,700,10,18,rabi,maize,"Cool season pulse crop grown for both food and fodder. High protein content and nitrogen-fixing ability."
Black-eyed Pea,sandy,5.5,6.8,medium,well_drained,500,1200,25,35,kharif,cotton,"Heat-tolerant pulse crop also known as cowpea. Good source of protein and adapts to marginal lands."
Cowpea,sandy,5.5,6.5,medium,well_drained,750,1250,25,35,kharif,wheat,"Dual-purpose crop grown for both grain and fodder. Highly nutritious and drought-tolerant legume."
Kidney Bean,loamy,6.0,7.0,high,well_drained,600,1200,15,25,rabi,rice,"Nutritious pulse crop rich in protein fiber and antioxidants. Popular in northern Indian cuisine."
Lima Bean,loamy,6.0,7.0,medium,well_drained,500,1000,18,24,kharif,maize,"Large-seeded pulse crop with high protein content. Also known as butter bean due to creamy texture."
Hyacinth Bean,clay,6.0,7.5,medium,moderate,600,1500,20,30,kharif,rice,"Multipurpose legume grown for pods leaves and tubers. Also known as lablab bean. Common in South Indian cuisine."
Horse Gram,sandy,6.0,7.5,low,well_drained,400,800,25,30,kharif,cotton,"Hardy pulse crop that grows on poor soils. High protein content and medicinal properties. Traditional crop of South India."
Moth Bean,sandy,7.0,8.5,low,well_drained,300,500,25,35,kharif,wheat,"Drought-resistant pulse crop adapted to arid regions. Nutritious and used in traditional Rajasthani cuisine."
Cluster Bean (Guar),sandy,7.0,8.5,low,well_drained,350,600,25,35,kharif,wheat,"Dual-purpose crop grown for vegetable pods and industrial gum. Source of guar gum used in food industry."
Winged Bean,loamy,5.5,7.0,high,well_drained,1000,1500,20,30,kharif,rice,"Tropical legume with edible pods leaves tubers and seeds. Known as four-angled bean. Highly nutritious superfood."
Broad Bean,loamy,6.0,7.5,high,well_drained,400,800,15,25,rabi,rice,"Cool season pulse crop also known as fava bean. Rich in protein folate and dietary fiber."
French Bean,loamy,6.0,7.0,high,well_drained,600,1000,18,24,rabi,wheat,"Popular vegetable crop grown for tender green pods. High in vitamins minerals and antioxidants."
Soybean,loamy,6.0,7.0,high,well_drained,450,700,20,30,kharif,wheat,"Complete protein oilseed crop with all essential amino acids. Major source of vegetable oil and protein meal."
Peanut (Groundnut),sandy,6.0,7.0,medium,well_drained,500,750,22,30,kharif,rice,"Important oilseed crop that fixes atmospheric nitrogen. Rich source of protein healthy fats and vitamins."
Velvet Bean,loamy,5.5,7.0,medium,well_drained,1000,1500,20,30,kharif,rice,"Medicinal legume crop used in Ayurveda. Contains L-DOPA compound beneficial for Parkinson's disease treatment."
Mustard,loamy,6.0,7.5,medium,well_drained,400,600,10,25,rabi,rice,"Important oilseed crop producing pungent oil used in cooking. Seeds used as spice and condiment."
Rapeseed,loamy,6.5,7.5,medium,well_drained,400,600,12,22,rabi,rice,"Cool season oilseed crop closely related to mustard. Produces oil used for cooking and industrial purposes."
Sunflower,sandy,6.5,8.5,medium,well_drained,400,700,20,25,rabi,maize,"High-yielding oilseed crop with edible oil and protein-rich cake. Also grown for ornamental purposes."
Safflower,sandy,6.8,7.8,low,well_drained,300,600,15,25,rabi,cotton,"Drought-tolerant oilseed crop producing oil rich in linoleic acid. Flowers used for natural dye production."
Sesame,sandy,5.5,8.0,medium,well_drained,500,700,25,30,kharif,wheat,"Ancient oilseed crop producing nutrient-rich oil and seeds. Seeds used in confectionery and traditional sweets."
Niger,sandy,6.0,7.5,medium,well_drained,800,1200,20,30,kharif,rice,"Small-seeded oilseed crop producing oil with high vitamin E content. Seeds also used as bird feed."
